League,Revenue Per Player,Average Player Salary
MLB,10428850,4360000
NBA,19555556,7700000
NHL,7152875,2780000
Premier League,11189591,3500000
Belgian First Division A,890698,241674
NFL,9964623,2700000
MLS,1538462,345000
WNBA,437500,75000
CFL,483092,65000
Australian Rules Football,2426768,309000
NPB (Japanese Baseball),3523810,310225
Overwatch,1860417,114000
Twenty20 Cricket,5795455,278000
